k x dx P11 P12 P21 P22 rx rdx z 
289 41.352039 2.887542 1.951840 0.193594 0.193594 0.039011 41.760500 2.890000 36.008873 
290 41.959648 2.929125 1.952085 0.193659 0.193659 0.039029 42.050000 2.900000 57.949789 
291 42.220097 2.935854 1.952333 0.193725 0.193725 0.039046 42.340500 2.910000 40.564603 
292 42.366545 2.931201 1.952584 0.193790 0.193790 0.039063 42.632000 2.920000 34.953049 
293 43.064986 2.981387 1.952839 0.193855 0.193855 0.039080 42.924500 2.930000 63.390076 
294 43.313241 2.986385 1.953096 0.193920 0.193920 0.039096 43.218000 2.940000 40.783943 
295 43.693091 3.004400 1.953356 0.193985 0.193985 0.039112 43.512500 2.950000 47.744314 
296 44.025145 3.017491 1.953618 0.194050 0.194050 0.039128 43.808000 2.960000 45.586652 
297 44.397857 3.034491 1.953883 0.194114 0.194114 0.039144 44.104500 2.970000 47.933704 
298 44.556745 3.030077 1.954150 0.194179 0.194179 0.039159 44.402000 2.980000 37.278537 
299 45.284510 3.082242 1.954419 0.194243 0.194243 0.039174 44.700500 2.990000 66.567862 
300 45.623974 3.095298 1.954691 0.194306 0.194306 0.039189 45.000000 3.000000 47.165875 
301 45.906263 3.102540 1.954964 0.194369 0.194369 0.039204 45.300500 3.010000 44.514991 
302 46.489940 3.139680 1.955239 0.194432 0.194432 0.039218 45.602000 3.020000 60.175551 
303 46.489362 3.118345 1.955516 0.194495 0.194495 0.039233 45.904500 3.030000 30.693789 
304 46.734366 3.121647 1.955794 0.194557 0.194557 0.039247 46.208000 3.040000 43.359058 
305 46.863385 3.113376 1.956073 0.194619 0.194619 0.039260 46.512500 3.050000 37.658584 
306 46.924751 3.098451 1.956353 0.194680 0.194680 0.039274 46.818000 3.060000 34.372227 
307 46.811432 3.066284 1.956635 0.194741 0.194741 0.039287 47.124500 3.070000 25.582417 
308 47.183963 3.082794 1.956917 0.194802 0.194802 0.039300 47.432000 3.080000 50.460662 
309 47.626465 3.106108 1.957201 0.194862 0.194862 0.039312 47.740500 3.090000 54.325101 
310 48.072797 3.129573 1.957485 0.194921 0.194921 0.039325 48.050000 3.100000 54.845464 
311 48.474970 3.148409 1.957769 0.194980 0.194980 0.039337 48.360500 3.110000 52.917714 
312 48.761957 3.155584 1.958054 0.195039 0.195039 0.039349 48.672000 3.120000 47.342250 
313 48.949801 3.152811 1.958340 0.195097 0.195097 0.039361 48.984500 3.130000 42.530943 
314 49.147149 3.151011 1.958625 0.195154 0.195154 0.039373 49.298000 3.140000 43.218826 
315 49.378440 3.152609 1.958911 0.195211 0.195211 0.039384 49.612500 3.150000 45.158820 
316 49.618311 3.155045 1.959196 0.195267 0.195267 0.039395 49.928000 3.160000 45.820661 
317 50.037684 3.175349 1.959481 0.195323 0.195323 0.039406 50.244500 3.170000 55.209632 
318 50.163265 3.166162 1.959767 0.195378 0.195378 0.039416 50.562000 3.180000 40.535455 
319 50.551342 3.183238 1.960051 0.195433 0.195433 0.039427 50.880500 3.190000 54.100744 
320 50.890055 3.195221 1.960335 0.195486 0.195486 0.039437 51.200000 3.200000 51.884758 
321 51.472939 3.231437 1.960619 0.195540 0.195540 0.039447 51.520500 3.210000 64.617132 
322 51.941673 3.255909 1.960902 0.195592 0.195592 0.039457 51.842000 3.220000 59.195743 
323 52.326591 3.271778 1.961184 0.195644 0.195644 0.039466 52.164500 3.230000 55.267340 
324 52.602669 3.276630 1.961466 0.195696 0.195696 0.039476 52.488000 3.240000 50.023580 
325 53.147165 3.308216 1.961746 0.195746 0.195746 0.039485 52.812500 3.250000 63.958408 
326 53.466155 3.316985 1.962025 0.195796 0.195796 0.039494 53.138000 3.260000 52.850013 
327 53.528865 3.300089 1.962303 0.195846 0.195846 0.039503 53.464500 3.270000 40.065039 
328 54.082062 3.332317 1.962580 0.195894 0.195894 0.039511 53.792000 3.280000 65.206107 
329 54.649834 3.365680 1.962856 0.195942 0.195942 0.039520 54.120500 3.290000 66.339255 
330 54.810133 3.358032 1.963130 0.195990 0.195990 0.039528 54.450000 3.300000 45.982427 
331 55.018793 3.355288 1.963403 0.196037 0.196037 0.039536 54.780500 3.310000 48.645336 
332 55.450676 3.374859 1.963674 0.196083 0.196083 0.039544 55.112000 3.320000 60.236168 
333 55.788513 3.384844 1.963943 0.196128 0.196128 0.039551 55.444500 3.330000 55.781110 
334 56.162402 3.398330 1.964211 0.196173 0.196173 0.039559 55.778000 3.340000 57.904505 
335 56.058135 3.363923 1.964477 0.196217 0.196217 0.039566 56.112500 3.350000 33.870780 
336 56.697272 3.404114 1.964742 0.196260 0.196260 0.039573 56.448000 3.360000 71.778441 
337 56.970506 3.407353 1.965004 0.196303 0.196303 0.039580 56.784500 3.370000 53.594066 
338 57.087803 3.394980 1.965264 0.196345 0.196345 0.039587 57.122000 3.380000 45.916889 
339 57.430009 3.405201 1.965523 0.196386 0.196386 0.039593 57.460500 3.390000 57.540176 
340 57.657429 3.403849 1.965779 0.196426 0.196426 0.039600 57.800000 3.400000 51.992118 
341 57.942064 3.408228 1.966033 0.196466 0.196466 0.039606 58.140500 3.410000 55.137252 
342 58.161074 3.406005 1.966285 0.196506 0.196506 0.039612 58.482000 3.420000 52.062870 
343 57.969441 3.362761 1.966535 0.196544 0.196544 0.039618 58.824500 3.430000 31.412210 
344 58.706546 3.412774 1.966783 0.196582 0.196582 0.039624 59.168000 3.440000 78.660740 
345 59.601140 3.478032 1.967028 0.196619 0.196619 0.039630 59.512500 3.450000 87.152456 
346 59.920416 3.485131 1.967271 0.196656 0.196656 0.039635 59.858000 3.460000 58.473953 
347 60.100677 3.478261 1.967512 0.196692 0.196692 0.039640 60.204500 3.470000 51.692509 
348 60.504927 3.493852 1.967750 0.196727 0.196727 0.039646 60.552000 3.480000 63.290995 
349 60.618658 3.480241 1.967986 0.196762 0.196762 0.039651 60.900500 3.490000 48.855021 
350 60.790397 3.472565 1.968219 0.196796 0.196796 0.039656 61.250000 3.500000 51.985221 
351 61.263938 3.495142 1.968450 0.196829 0.196829 0.039660 61.600500 3.510000 67.528192 
352 61.488457 3.492593 1.968678 0.196862 0.196862 0.039665 61.952000 3.520000 55.239358 
353 61.739963 3.492767 1.968903 0.196894 0.196894 0.039670 62.304500 3.530000 56.847942 
354 62.252329 3.519027 1.969126 0.196925 0.196925 0.039674 62.658000 3.540000 70.346687 
355 62.313178 3.499869 1.969347 0.196956 0.196956 0.039678 63.012500 3.550000 47.800138 
356 62.477931 3.491293 1.969564 0.196986 0.196986 0.039683 63.368000 3.560000 53.233442 
357 62.769145 3.495450 1.969779 0.197015 0.197015 0.039687 63.724500 3.570000 59.862003 
358 62.601045 3.453624 1.969992 0.197044 0.197044 0.039691 64.082000 3.580000 36.817276 
359 63.045981 3.473534 1.970201 0.197072 0.197072 0.039694 64.440500 3.590000 67.975528 
360 63.675867 3.511745 1.970408 0.197100 0.197100 0.039698 64.800000 3.600000 77.707240 
361 63.828811 3.501866 1.970613 0.197127 0.197127 0.039702 65.160500 3.610000 53.942813 
362 64.110294 3.504943 1.970814 0.197154 0.197154 0.039705 65.522000 3.620000 60.668106 
363 64.216619 3.490466 1.971013 0.197180 0.197180 0.039709 65.884500 3.630000 52.047925 
364 64.877389 3.531602 1.971209 0.197205 0.197205 0.039712 66.248000 3.640000 80.354581 
365 65.315876 3.550088 1.971402 0.197230 0.197230 0.039715 66.612500 3.650000 69.533917 
366 65.696382 3.562589 1.971593 0.197254 0.197254 0.039718 66.978000 3.660000 66.939245 
367 66.182024 3.585484 1.971781 0.197278 0.197278 0.039721 67.344500 3.670000 72.589531 
368 66.711862 3.612572 1.971966 0.197301 0.197301 0.039724 67.712000 3.680000 75.201968 
369 66.838036 3.599001 1.972148 0.197324 0.197324 0.039727 68.080500 3.690000 55.128121 
370 67.434237 3.632594 1.972327 0.197346 0.197346 0.039729 68.450000 3.700000 79.153856 
371 68.015837 3.664391 1.972504 0.197367 0.197367 0.039732 68.820500 3.710000 78.841882 
372 68.334916 3.669602 1.972678 0.197388 0.197388 0.039735 69.192000 3.720000 65.956603 
373 68.683918 3.677755 1.972850 0.197409 0.197409 0.039737 69.564500 3.730000 67.766784 
374 68.984426 3.680974 1.973018 0.197429 0.197429 0.039739 69.938000 3.740000 65.617461 
375 69.170633 3.672723 1.973184 0.197448 0.197448 0.039742 70.312500 3.750000 60.109589 
376 69.712305 3.700125 1.973347 0.197467 0.197467 0.039744 70.688000 3.760000 78.350834 
377 69.999764 3.701814 1.973508 0.197486 0.197486 0.039746 71.064500 3.770000 65.874369 
378 70.621910 3.736978 1.973665 0.197504 0.197504 0.039748 71.442000 3.780000 83.111475 
379 71.129646 3.760341 1.973820 0.197521 0.197521 0.039750 71.820500 3.790000 77.761551 
380 71.540528 3.773778 1.973973 0.197539 0.197539 0.039752 72.200000 3.800000 73.246242 
381 72.129905 3.804944 1.974123 0.197555 0.197555 0.039754 72.580500 3.810000 82.631944 
382 72.587370 3.822596 1.974270 0.197571 0.197571 0.039756 72.962000 3.820000 76.384307 
383 72.909728 3.826552 1.974414 0.197587 0.197587 0.039758 73.344500 3.830000 69.910866 
384 73.222693 3.829527 1.974556 0.197603 0.197603 0.039759 73.728000 3.840000 69.738159 
385 73.662892 3.845206 1.974696 0.197618 0.197618 0.039761 74.112500 3.850000 76.479859 
386 73.763553 3.826749 1.974833 0.197632 0.197632 0.039762 74.498000 3.860000 59.648725 
387 74.330848 3.855175 1.974967 0.197646 0.197646 0.039764 74.884500 3.870000 83.469432 
388 74.694523 3.862939 1.975099 0.197660 0.197660 0.039765 75.272000 3.880000 73.585611 
389 74.927162 3.857512 1.975228 0.197673 0.197673 0.039767 75.660500 3.890000 67.276954 
390 75.530428 3.889230 1.975355 0.197686 0.197686 0.039768 76.050000 3.900000 86.299531 
391 76.069057 3.914162 1.975479 0.197699 0.197699 0.039769 76.440500 3.910000 83.472755 
392 76.340985 3.912154 1.975601 0.197711 0.197711 0.039770 76.832000 3.920000 70.387464 
393 76.662726 3.915151 1.975720 0.197723 0.197723 0.039772 77.224500 3.930000 73.190952 
394 76.959242 3.915594 1.975837 0.197735 0.197735 0.039773 77.618000 3.940000 72.221411 
395 77.583837 3.948865 1.975952 0.197746 0.197746 0.039774 78.012500 3.950000 89.119612 
396 77.944226 3.955363 1.976064 0.197757 0.197757 0.039775 78.408000 3.960000 76.208130 
397 78.214444 3.952771 1.976175 0.197767 0.197767 0.039776 78.804500 3.970000 71.973494 
398 78.824552 3.984220 1.976282 0.197777 0.197777 0.039777 79.202000 3.980000 89.455374 
399 79.017592 3.973617 1.976388 0.197787 0.197787 0.039778 79.600500 3.990000 68.806419 
400 79.556817 3.997764 1.976491 0.197796 0.197796 0.039779 80.000000 4.000000 86.567678 
401 79.973829 4.009438 1.976592 0.197806 0.197806 0.039779 80.400500 4.010000 80.803763 
402 80.513345 4.033256 1.976691 0.197815 0.197815 0.039780 80.802000 4.020000 87.360312 
403 80.775344 4.029063 1.976788 0.197823 0.197823 0.039781 81.204500 4.030000 73.742537 
404 81.148768 4.036062 1.976883 0.197832 0.197832 0.039782 81.608000 4.040000 79.662104 
405 81.546275 4.045402 1.976975 0.197840 0.197840 0.039782 82.012500 4.050000 81.219115 
406 82.343123 4.094611 1.977066 0.197847 0.197847 0.039783 82.418000 4.060000 101.768907 
407 82.865474 4.115858 1.977154 0.197855 0.197855 0.039784 82.824500 4.070000 88.437542 
408 83.437931 4.141906 1.977241 0.197862 0.197862 0.039784 83.232000 4.080000 91.388440 
409 83.591102 4.125736 1.977325 0.197869 0.197869 0.039785 83.640500 4.090000 70.626671 
410 83.816159 4.116921 1.977407 0.197876 0.197876 0.039786 84.050000 4.100000 74.495960 
411 84.410524 4.145151 1.977488 0.197882 0.197882 0.039786 84.460500 4.110000 93.440643 
412 84.875003 4.160101 1.977567 0.197889 0.197889 0.039787 84.872000 4.120000 87.326791 
413 85.136053 4.154544 1.977643 0.197895 0.197895 0.039787 85.284500 4.130000 77.430638 
414 85.715520 4.180906 1.977718 0.197901 0.197901 0.039787 85.698000 4.140000 93.819758 
415 86.025286 4.180017 1.977792 0.197906 0.197906 0.039788 86.112500 4.150000 80.631780 
416 86.281010 4.173729 1.977863 0.197912 0.197912 0.039788 86.528000 4.160000 78.213822 
417 86.414679 4.155291 1.977933 0.197917 0.197917 0.039789 86.944500 4.170000 72.330126 
418 86.686780 4.150889 1.978000 0.197922 0.197922 0.039789 87.362000 4.180000 79.554281 
419 87.061699 4.156820 1.978067 0.197926 0.197926 0.039789 87.780500 4.190000 85.046315 
420 87.699539 4.188999 1.978131 0.197931 0.197931 0.039790 88.200000 4.200000 98.683341 
421 88.575449 4.244676 1.978194 0.197935 0.197935 0.039790 88.620500 4.210000 111.196034 
422 89.065026 4.261141 1.978255 0.197940 0.197940 0.039790 89.042000 4.220000 92.266382 
423 89.405675 4.262540 1.978315 0.197944 0.197944 0.039791 89.464500 4.230000 85.146287 
424 89.529127 4.242193 1.978373 0.197948 0.197948 0.039791 89.888000 4.240000 74.501543 
425 90.016936 4.258505 1.978430 0.197951 0.197951 0.039791 90.312500 4.250000 93.142713 
426 90.642161 4.288403 1.978485 0.197955 0.197955 0.039791 90.738000 4.260000 100.495180 
427 90.678588 4.259091 1.978538 0.197958 0.197958 0.039792 91.164500 4.270000 71.212698 
428 91.025130 4.261100 1.978590 0.197962 0.197962 0.039792 91.592000 4.280000 87.068468 
429 91.521102 4.278040 1.978641 0.197965 0.197965 0.039792 92.020500 4.290000 94.957237 
430 92.426326 4.335756 1.978690 0.197968 0.197968 0.039792 92.450000 4.300000 116.052257 
431 92.737753 4.333485 1.978738 0.197970 0.197970 0.039792 92.880500 4.310000 86.662063 
432 93.341931 4.360526 1.978785 0.197973 0.197973 0.039792 93.312000 4.320000 101.779370 
433 93.715134 4.364188 1.978830 0.197976 0.197976 0.039793 93.744500 4.330000 90.577113 
434 94.275060 4.386494 1.978874 0.197978 0.197978 0.039793 94.178000 4.340000 100.368097 
435 94.664223 4.391494 1.978917 0.197980 0.197980 0.039793 94.612500 4.350000 92.188241 
436 95.104118 4.401518 1.978959 0.197983 0.197983 0.039793 95.048000 4.360000 95.116274 
437 95.831954 4.440249 1.978999 0.197985 0.197985 0.039793 95.484500 4.370000 110.056371 
438 96.247497 4.447349 1.979038 0.197987 0.197987 0.039793 95.922000 4.380000 94.812029 
439 96.681900 4.456266 1.979076 0.197988 0.197988 0.039793 96.360500 4.390000 96.145396 
440 97.104605 4.463923 1.979113 0.197990 0.197990 0.039793 96.800000 4.400000 95.944609 
441 97.717432 4.490523 1.979149 0.197992 0.197992 0.039793 97.240500 4.410000 105.935652 
442 98.022940 4.486113 1.979184 0.197993 0.197993 0.039793 97.682000 4.420000 90.889015 
443 98.685978 4.517513 1.979217 0.197995 0.197995 0.039794 98.124500 4.430000 109.280704 
444 99.176670 4.531359 1.979250 0.197996 0.197996 0.039794 98.568000 4.440000 101.080404 
445 99.737253 4.552057 1.979282 0.197998 0.197998 0.039794 99.012500 4.450000 105.033633 
446 100.192857 4.562047 1.979312 0.197999 0.197999 0.039794 99.458000 4.460000 100.187839 
447 100.479883 4.555074 1.979342 0.198000 0.198000 0.039794 99.904500 4.470000 92.077088 
448 100.745847 4.546063 1.979371 0.198001 0.198001 0.039794 100.352000 4.480000 91.334686 
449 100.852723 4.521229 1.979398 0.198002 0.198002 0.039794 100.800500 4.490000 83.608223 
450 100.921618 4.492845 1.979425 0.198003 0.198003 0.039794 101.250000 4.500000 81.919487 
451 101.736784 4.539394 1.979451 0.198004 0.198004 0.039794 101.700500 4.510000 119.830167 
452 102.211542 4.551426 1.979476 0.198005 0.198005 0.039794 102.152000 4.520000 103.217674 
453 102.749221 4.569632 1.979501 0.198005 0.198005 0.039794 102.604500 4.530000 106.811459 
454 103.108271 4.569788 1.979524 0.198006 0.198006 0.039794 103.058000 4.540000 98.235155 
455 103.838842 4.607104 1.979547 0.198007 0.198007 0.039794 103.512500 4.550000 117.361444 
456 104.391567 4.626258 1.979569 0.198007 0.198007 0.039794 103.968000 4.560000 108.923004 
457 104.558358 4.606617 1.979590 0.198008 0.198008 0.039794 104.424500 4.570000 89.885162 
458 104.828194 4.597480 1.979610 0.198008 0.198008 0.039794 104.882000 4.580000 95.354737 
459 105.249001 4.603535 1.979630 0.198008 0.198008 0.039794 105.340500 4.590000 103.296081 
460 105.544227 4.596969 1.979649 0.198009 0.198009 0.039794 105.800000 4.600000 97.343367 
461 105.944269 4.600952 1.979667 0.198009 0.198009 0.039794 106.260500 4.610000 102.965750 
462 106.235088 4.593971 1.979685 0.198009 0.198009 0.039794 106.722000 4.620000 97.828969 
463 106.853533 4.619829 1.979702 0.198010 0.198010 0.039794 107.184500 4.630000 114.703656 
464 107.559726 4.654205 1.979719 0.198010 0.198010 0.039794 107.648000 4.640000 119.626354 
465 107.972201 4.658859 1.979734 0.198010 0.198010 0.039794 108.112500 4.650000 105.326040 
466 108.345783 4.659577 1.979750 0.198010 0.198010 0.039794 108.578000 4.660000 103.750913 
467 108.854039 4.673757 1.979764 0.198010 0.198010 0.039794 109.044500 4.670000 110.923506 
468 109.207878 4.672352 1.979778 0.198010 0.198010 0.039794 109.512000 4.680000 103.561854 
469 109.422013 4.656988 1.979792 0.198010 0.198010 0.039794 109.980500 4.690000 96.866176 
470 110.134636 4.691634 1.979805 0.198010 0.198010 0.039794 110.450000 4.700000 122.335096 
471 111.025154 4.743726 1.979818 0.198010 0.198010 0.039794 110.920500 4.710000 131.861558 
472 111.414562 4.745178 1.979830 0.198010 0.198010 0.039794 111.392000 4.720000 107.183240 
473 111.901944 4.756415 1.979841 0.198010 0.198010 0.039794 111.864500 4.730000 112.514082 
474 112.405540 4.769160 1.979852 0.198010 0.198010 0.039794 112.338000 4.740000 113.764797 
475 112.962484 4.787114 1.979863 0.198010 0.198010 0.039794 112.812500 4.750000 116.899790 
476 113.081714 4.761112 1.979873 0.198010 0.198010 0.039794 113.288000 4.760000 95.259636 
477 113.625982 4.777878 1.979883 0.198010 0.198010 0.039794 113.764500 4.770000 116.975546 
478 114.150763 4.792528 1.979892 0.198010 0.198010 0.039794 114.242000 4.780000 116.452540 
479 114.521547 4.791630 1.979901 0.198009 0.198009 0.039794 114.720500 4.790000 109.126780 
480 114.697988 4.771305 1.979910 0.198009 0.198009 0.039794 115.200000 4.800000 99.686254 
481 115.203982 4.784142 1.979918 0.198009 0.198009 0.039794 115.680500 4.810000 116.608206 
482 115.314728 4.757322 1.979926 0.198009 0.198009 0.039794 116.162000 4.820000 97.087803 
483 115.829504 4.771177 1.979933 0.198009 0.198009 0.039794 116.644500 4.830000 117.737710 
484 116.549440 4.805410 1.979940 0.198008 0.198008 0.039794 117.128000 4.840000 128.545782 
485 116.915976 4.803959 1.979947 0.198008 0.198008 0.039794 117.612500 4.850000 111.247257 
486 117.531674 4.827440 1.979954 0.198008 0.198008 0.039794 118.098000 4.860000 124.205224 
487 117.803637 4.816311 1.979960 0.198008 0.198008 0.039794 118.584500 4.870000 107.343920 
488 118.368314 4.834566 1.979966 0.198007 0.198007 0.039794 119.072000 4.880000 122.454852 
489 119.317984 4.891139 1.979972 0.198007 0.198007 0.039794 119.560500 4.890000 142.373485 
490 120.038646 4.924245 1.979977 0.198007 0.198007 0.039794 120.050000 4.900000 131.476792 
491 120.988101 4.979900 1.979982 0.198007 0.198007 0.039794 120.540500 4.910000 143.588921 
492 121.339682 4.975209 1.979987 0.198006 0.198006 0.039794 121.032000 4.920000 114.066879 
493 122.057012 5.007140 1.979992 0.198006 0.198006 0.039794 121.524500 4.930000 132.913938 
494 122.802281 5.041547 1.979996 0.198006 0.198006 0.039794 122.018000 4.940000 134.884268 
495 123.290244 5.049877 1.980000 0.198005 0.198005 0.039794 122.512500 4.950000 122.463927 
496 124.024714 5.082776 1.980004 0.198005 0.198005 0.039794 123.008000 4.960000 135.360477 
497 124.495737 5.089001 1.980008 0.198005 0.198005 0.039794 123.504500 4.970000 122.626686 
498 124.854090 5.083896 1.980011 0.198005 0.198005 0.039794 124.002000 4.980000 117.376543 
499 125.093928 5.066990 1.980015 0.198004 0.198004 0.039794 124.500500 4.990000 111.774627 
500 125.808833 5.097761 1.980018 0.198004 0.198004 0.039794 125.000000 5.000000 136.091250 
501 126.070829 5.082933 1.980021 0.198004 0.198004 0.039794 125.500500 5.010000 113.779830 
502 126.655732 5.100544 1.980024 0.198003 0.198003 0.039794 126.002000 5.020000 130.423519 
503 127.054022 5.099317 1.980026 0.198003 0.198003 0.039794 126.504500 5.030000 121.496421 
504 127.496114 5.102483 1.980029 0.198003 0.198003 0.039794 127.008000 5.040000 124.112984 
505 128.118098 5.123607 1.980031 0.198003 0.198003 0.039794 127.512500 5.050000 133.624760 
506 128.437057 5.114217 1.980033 0.198002 0.198002 0.039795 128.018000 5.060000 118.838106 
507 128.935278 5.122847 1.980035 0.198002 0.198002 0.039795 128.524500 5.070000 128.257054 
508 129.136426 5.101683 1.980037 0.198002 0.198002 0.039795 129.032000 5.080000 113.709132 
509 129.677961 5.114770 1.980039 0.198002 0.198002 0.039795 129.540500 5.090000 131.205963 
510 130.324795 5.138255 1.980041 0.198001 0.198001 0.039795 130.050000 5.100000 137.000762 
511 130.943173 5.158661 1.980042 0.198001 0.198001 0.039795 130.560500 5.110000 136.094180 
512 131.396800 5.162387 1.980044 0.198001 0.198001 0.039795 131.072000 5.120000 128.290996 
513 132.110676 5.192100 1.980045 0.198001 0.198001 0.039795 131.584500 5.130000 141.869728 
514 132.162387 5.155301 1.980047 0.198000 0.198000 0.039795 132.098000 5.140000 108.994612 
515 132.775428 5.175002 1.980048 0.198000 0.198000 0.039795 132.612500 5.150000 137.577863 
516 133.153342 5.170994 1.980049 0.198000 0.198000 0.039795 133.128000 5.160000 126.218554 
517 133.600711 5.173971 1.980050 0.198000 0.198000 0.039795 133.644500 5.170000 130.124015 
518 133.773850 5.149496 1.980051 0.198000 0.198000 0.039795 134.162000 5.180000 116.707016 
519 134.211949 5.151761 1.980052 0.197999 0.197999 0.039795 134.680500 5.190000 130.382831 
520 135.031831 5.192181 1.980052 0.197999 0.197999 0.039795 135.200000 5.200000 150.091161 
521 135.403723 5.187399 1.980053 0.197999 0.197999 0.039795 135.720500 5.210000 128.085757 
522 135.753179 5.180421 1.980054 0.197999 0.197999 0.039795 136.242000 5.220000 127.348241 
523 136.358141 5.199063 1.980054 0.197999 0.197999 0.039795 136.764500 5.230000 140.636269 
524 136.927994 5.214007 1.980055 0.197999 0.197999 0.039795 137.288000 5.240000 139.375779 
525 137.524189 5.231436 1.980055 0.197998 0.197998 0.039795 137.812500 5.250000 141.202013 
526 138.066609 5.243314 1.980056 0.197998 0.197998 0.039795 138.338000 5.260000 138.996134 
527 138.637324 5.257902 1.980056 0.197998 0.197998 0.039795 138.864500 5.270000 140.908708 
528 139.167271 5.268268 1.980057 0.197998 0.197998 0.039795 139.392000 5.280000 139.348285 
529 139.313999 5.240209 1.980057 0.197998 0.197998 0.039795 139.920500 5.290000 120.473018 
530 139.916398 5.257997 1.980057 0.197998 0.197998 0.039796 140.450000 5.300000 143.771633 
531 140.458875 5.269615 1.980057 0.197998 0.197998 0.039796 140.980500 5.310000 141.259721 
532 140.858516 5.266833 1.980058 0.197998 0.197998 0.039796 141.512000 5.320000 134.530946 
533 141.233537 5.261617 1.980058 0.197997 0.197997 0.039796 142.044500 5.330000 133.700962 
534 141.581655 5.253764 1.980058 0.197997 0.197997 0.039796 142.578000 5.340000 132.743110 
535 142.056150 5.258626 1.980058 0.197997 0.197997 0.039796 143.112500 5.350000 139.512552 
536 142.506607 5.261036 1.980058 0.197997 0.197997 0.039796 143.648000 5.360000 138.749038 
537 143.190965 5.286810 1.980058 0.197997 0.197997 0.039796 144.184500 5.370000 151.000363 
538 143.608777 5.285674 1.980058 0.197997 0.197997 0.039796 144.722000 5.380000 138.095635 
539 144.004429 5.282333 1.980059 0.197997 0.197997 0.039796 145.260500 5.390000 137.399873 
540 144.535687 5.292585 1.980059 0.197997 0.197997 0.039796 145.800000 5.400000 144.660646 
541 144.853409 5.281383 1.980059 0.197997 0.197997 0.039796 146.340500 5.410000 134.356889 
542 145.601151 5.313292 1.980059 0.197997 0.197997 0.039796 146.882000 5.420000 156.447520 
543 146.286924 5.338686 1.980059 0.197997 0.197997 0.039796 147.424500 5.430000 153.907731 
544 146.953637 5.361920 1.980059 0.197997 0.197997 0.039796 147.968000 5.440000 153.505133 
545 147.495476 5.372434 1.980059 0.197997 0.197997 0.039796 148.512500 5.450000 147.750252 
546 147.896581 5.368771 1.980059 0.197997 0.197997 0.039796 149.058000 5.460000 141.132491 
547 148.651013 5.400476 1.980059 0.197997 0.197997 0.039796 149.604500 5.470000 159.396004 
548 149.229645 5.414284 1.980059 0.197997 0.197997 0.039796 150.152000 5.480000 151.114984 
549 149.836969 5.430823 1.980059 0.197997 0.197997 0.039797 150.700500 5.490000 153.074284 
550 150.664488 5.469216 1.980059 0.197997 0.197997 0.039797 151.250000 5.500000 164.720366 
551 151.510750 5.509098 1.980059 0.197997 0.197997 0.039797 151.800500 5.510000 166.304425 
552 151.861114 5.498995 1.980059 0.197997 0.197997 0.039797 152.352000 5.520000 141.908603 
553 152.409793 5.508823 1.980059 0.197997 0.197997 0.039797 152.904500 5.530000 152.324658 
554 153.023901 5.525095 1.980059 0.197997 0.197997 0.039797 153.458000 5.540000 156.129046 
555 153.614439 5.538847 1.980059 0.197997 0.197997 0.039797 154.012500 5.550000 155.472228 
556 154.031283 5.535094 1.980059 0.197997 0.197997 0.039797 154.568000 5.560000 147.222515 
557 154.696281 5.556192 1.980059 0.197997 0.197997 0.039797 155.124500 5.570000 160.190586 
558 155.389177 5.579869 1.980059 0.197997 0.197997 0.039797 155.682000 5.580000 162.160128 
559 156.123037 5.607406 1.980059 0.197997 0.197997 0.039797 156.240500 5.590000 164.804640 
560 156.784467 5.627424 1.980059 0.197997 0.197997 0.039797 156.800000 5.600000 161.744186 
561 157.228568 5.625511 1.980059 0.197997 0.197997 0.039797 157.360500 5.610000 151.330652 
562 157.932856 5.649634 1.980059 0.197997 0.197997 0.039797 157.922000 5.620000 164.924562 
563 158.860514 5.695852 1.980059 0.197997 0.197997 0.039797 158.484500 5.630000 176.790426 
564 159.327371 5.695529 1.980059 0.197997 0.197997 0.039797 159.048000 5.640000 154.217240 
565 160.073474 5.723134 1.980059 0.197997 0.197997 0.039797 159.612500 5.650000 168.788576 
566 160.869579 5.755462 1.980059 0.197997 0.197997 0.039797 160.178000 5.660000 171.923295 
567 161.529926 5.773892 1.980060 0.197998 0.197998 0.039797 160.744500 5.670000 165.703140 
568 162.180621 5.791172 1.980060 0.197998 0.197998 0.039798 161.312000 5.680000 165.784743 
569 162.560708 5.781220 1.980060 0.197998 0.197998 0.039798 161.880500 5.690000 152.683280 
570 163.100545 5.787341 1.980060 0.197998 0.197998 0.039798 162.450000 5.700000 161.180544 
571 163.871608 5.816523 1.980060 0.197998 0.197998 0.039798 163.020500 5.710000 173.367825 
572 164.447242 5.825872 1.980060 0.197998 0.197998 0.039798 163.592000 5.720000 164.124531 
573 165.086832 5.841522 1.980060 0.197998 0.197998 0.039798 164.164500 5.730000 167.883904 
574 165.900466 5.874419 1.980061 0.197998 0.197998 0.039798 164.738000 5.740000 177.235905 
575 166.526757 5.888254 1.980061 0.197998 0.197998 0.039798 165.312500 5.750000 168.425178 
576 167.200053 5.906650 1.980061 0.197998 0.197998 0.039798 165.888000 5.760000 171.356889 
577 167.853119 5.922840 1.980061 0.197998 0.197998 0.039798 166.464500 5.770000 170.917432 
578 168.411951 5.929445 1.980062 0.197999 0.197999 0.039798 167.042000 5.780000 166.731182 
579 169.077882 5.946694 1.980062 0.197999 0.197999 0.039798 167.620500 5.790000 172.666228 
